Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0221425651	101325.26	101325.26	101325.26	101325.26	0	0	0	163.798	0	0	3
2	14	0	0.0442851302	101325.092	101325.176	101325.092	101325.26	0.0839729283	0	0	130.737	0	0	3
3	19	0	0.0664276954	101325.07	101325.141	101325.07	101325.26	0.119365853	0	0	115.312	0	0	3
4	24	0	0.0885702605	101325.068	101325.123	101325.068	101325.26	0.137493204	0	0	103.83	0	0	3
5	29	0	0.110712826	101325.064	101325.111	101325.064	101325.26	0.149121975	0	0	81.0451	0	0	3
6	35	0	0.132855391	101325.06	101325.102	101325.06	101325.26	0.157659902	0	0	58.9791	0	0	3
7	41	0	0.154997956	101325.062	101325.097	101325.06	101325.26	0.163372617	0	0	40.9047	0	0	3
8	47	0	0.177140521	101325.052	101325.091	101325.052	101325.26	0.168927823	0	0	28.8653	0	0	3
9	52	0	0.199283086	101325.051	101325.087	101325.051	101325.26	0.173383332	0	0	28.6029	0	0	3
10	57	0	0.221425651	101325.039	101325.082	101325.039	101325.26	0.178143638	0	0	20.1382	0	0	3
11	63	0	0.243568216	101325.038	101325.078	101325.038	101325.26	0.182118124	0	0	15.8369	0	0	3
12	68	0	0.265710781	101325.038	101325.075	101325.038	101325.26	0.185457365	0	0	13.4689	0	0	3
13	74	0	0.287853347	101325.036	101325.072	101325.036	101325.26	0.188401431	0	0	12.0277	0	0	3
14	79	0	0.309995912	101325.031	101325.069	101325.031	101325.26	0.191337406	0	0	10.4196	0	0	3
15	85	0	0.332138477	101325.024	101325.066	101325.024	101325.26	0.194303793	0	0	11.3384	0	0	3
16	91	0	0.354281042	101325.027	101325.063	101325.024	101325.26	0.196749818	0	0	11.7094	0	0	3
17	96	0	0.376423607	101325.026	101325.061	101325.024	101325.26	0.198930009	0	0	12.0539	0	0	3
18	102	0	0.398566172	101325.023	101325.059	101325.023	101325.26	0.201058895	0	0	12.0451	0	0	3
19	107	0	0.420708737	101325.021	101325.057	101325.021	101325.26	0.203049692	0	0	12.0802	0	0	3
20	113	0	0.442851302	101325.023	101325.055	101325.021	101325.26	0.204764979	0	0	11.9022	0	0	3
21	119	0	0.464993868	101325.023	101325.054	101325.021	101325.26	0.206321145	0	0	11.8833	0	0	3
22	124	0	0.487136433	101325.024	101325.052	101325.021	101325.26	0.207680752	0	0	11.6521	0	0	3
23	129	0	0.509278998	101325.027	101325.051	101325.021	101325.26	0.208788355	0	0	11.5967	0	0	3
24	135	0	0.531421563	101325.03	101325.041	101325.021	101325.092	0.0709381684	0	0	11.2522	0	0	3
25	141	0	0.553564128	101325.031	101325.039	101325.021	101325.07	0.0487323229	0	0	11.1445	0	0	3
26	147	0	0.575706693	101325.035	101325.037	101325.021	101325.068	0.047008768	0	0	10.9587	0	0	3
27	153	0	0.597849258	101325.039	101325.036	101325.021	101325.064	0.0432469669	0	0	10.8306	0	0	3
28	158	0	0.619991823	101325.043	101325.035	101325.021	101325.062	0.0412351173	0	0	10.678	0	0	3
29	164	0	0.642134389	101325.047	101325.034	101325.021	101325.062	0.0412351173	0	0	10.5458	0	0	3
30	170	0	0.664276954	101325.051	101325.034	101325.021	101325.052	0.0310697641	0	0	10.4258	0	0	3
31	176	0	0.686419519	101325.054	101325.034	101325.021	101325.054	0.0327021025	0	0	10.3291	0	0	3
32	182	0	0.708562084	101325.058	101325.034	101325.021	101325.058	0.0364501731	0	0	10.2457	0	0	3
33	187	0	0.730704649	101325.061	101325.035	101325.021	101325.061	0.039885511	0	0	10.1312	0	0	3
34	193	0	0.752847214	101325.061	101325.036	101325.021	101325.061	0.0401837884	0	0	10.0071	0	0	3
35	199	0	0.774989779	101325.06	101325.037	101325.021	101325.061	0.0378253105	0	0	9.93721	0	0	3
36	205	0	0.797132344	101325.059	101325.038	101325.021	101325.061	0.0348893358	0	0	9.89701	0	0	3
37	211	0	0.81927491	101325.059	101325.039	101325.021	101325.061	0.0319229491	0	0	9.94292	0	0	3
38	217	0	0.841417475	101325.06	101325.041	101325.021	101325.061	0.0294769242	0	0	9.87619	0	0	3
39	223	0	0.86356004	101325.064	101325.043	101325.021	101325.064	0.0272967333	0	0	9.77328	0	0	3
40	228	0	0.885702605	101325.067	101325.044	101325.021	101325.067	0.0251678466	0	0	9.74261	0	0	3
41	234	0	0.90784517	101325.068	101325.046	101325.021	101325.068	0.0231770503	0	0	9.75883	0	0	3
42	240	0	0.929987735	101325.068	101325.048	101325.023	101325.068	0.021461763	0	0	9.62901	0	0	3
43	246	0	0.9521303	101325.067	101325.05	101325.023	101325.068	0.0199055968	0	0	9.67133	0	0	3
44	252	0	0.974272865	101325.065	101325.052	101325.024	101325.068	0.0185459902	0	0	9.63319	0	0	3
45	258	0	0.996415431	101325.065	101325.054	101325.027	101325.068	0.0200485084	0	0	9.61035	0	0	3
46	263	0	1.018558	101325.065	101325.056	101325.03	101325.068	0.0216933777	0.00350054022	0	9.51879	0	0	3
