Iteration	CPUTime	PhysTime	Travels	CourFact
1	1	0	0.025	0
2	1	0	0.05	0
3	2	0	0.075	0
4	2	0	0.1	0
5	2	0	0.125	0
6	3	0	0.15	0
7	3	0	0.175	0
8	4	0	0.2	0
9	4	0	0.225	0
10	4	0	0.25	0
11	5	0	0.275	0
12	5	0	0.3	0
13	5	0	0.325	0
14	6	0	0.35	0
15	6	0	0.375	0
16	7	0	0.4	0
17	7	0	0.425	0
18	7	0	0.45	0
19	8	0	0.475	0
20	8	0	0.5	0
21	9	0	0.525	0
22	9	0	0.55	0
23	10	0	0.575	0
24	10	0	0.6	0
25	11	0	0.625	0
26	11	0	0.65	0
27	11	0	0.675	0
28	12	0	0.7	0
29	12	0	0.725	0
30	13	0	0.75	0
31	13	0	0.775	0
32	14	0	0.8	0
33	14	0	0.825	0
34	14	0	0.85	0
35	15	0	0.875	0
36	15	0	0.9	0
37	16	0	0.925	0
38	16	0	0.95	0
39	17	0	0.975	0
40	17	0	1	0
41	17	0	1.025	0
42	18	0	1.05	0
43	18	0	1.075	0
44	19	0	1.1	0
45	19	0	1.125	0
46	20	0	1.15	0
47	20	0	1.175	0
48	20	0	1.2	0
49	21	0	1.225	0
50	21	0	1.25	0
51	22	0	1.275	0
52	22	0	1.3	0
53	23	0	1.325	0
54	23	0	1.35	0
