Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
59	243	0	1.475	101325.098	101325.097	101325.094	101325.098	0.00466131636	0.0201398136	100	8.28993	0	0	3
60	245	0	1.5	101325.098	101325.097	101325.094	101325.098	0.00468284427	0.0201347829	100	8.31432	0	0	3
61	246	0	1.525	101325.099	101325.097	101325.094	101325.099	0.00479340398	0.0201093386	100	8.30521	0	0	3
62	247	0	1.55	101325.098	101325.097	101325.094	101325.099	0.00479340398	0.0200669967	100	8.32654	0	0	3
63	249	0	1.575	101325.098	101325.097	101325.094	101325.099	0.00479340398	0.0200474144	100	8.30984	0	0	3
64	250	0	1.6	101325.098	101325.097	101325.094	101325.099	0.00479340398	0.0200474144	100	8.33435	0	0	3
65	253	0	1.625	101325.098	101325.097	101325.094	101325.099	0.00442403859	0.0200474144	100	8.3106	0	0	3
66	255	0	1.65	101325.098	101325.098	101325.095	101325.099	0.00391103965	0.0200474144	100	8.34181	0	0	3
67	257	0	1.675	101325.098	101325.098	101325.095	101325.099	0.00308098867	0.0200474144	100	8.32096	0	0	3
68	260	0	1.7	101325.097	101325.098	101325.096	101325.099	0.00235098756	0.0200474144	100	8.34345	0	0	3
69	264	0	1.725	101325.097	101325.098	101325.097	101325.099	0.00169146783	0.0200474144	100	8.3234	0	0	3
70	265	0	1.75	101325.097	101325.098	101325.097	101325.099	0.00141800626	0.0200474144	100	8.34797	0	0	3
71	267	0	1.775	101325.097	101325.098	101325.097	101325.099	0.00150691014	0.0200474144	100	8.33277	0	0	3
72	268	0	1.8	101325.097	101325.098	101325.097	101325.099	0.00162913682	0.0200474144	100	8.35337	0	0	3
73	270	0	1.825	101325.097	101325.098	101325.097	101325.099	0.00163897561	0.0200474144	100	8.34534	0	0	3
74	274	0	1.85	101325.097	101325.098	101325.097	101325.099	0.00179196808	0.0200474144	100	8.35222	0	0	3
75	277	0	1.875	101325.097	101325.098	101325.097	101325.099	0.00179196808	0.0200474144	100	8.3055	0	0	3
76	280	0	1.9	101325.097	101325.098	101325.097	101325.099	0.00190479548	0.0200474144	100	8.33021	0	0	3
77	284	0	1.925	101325.097	101325.098	101325.097	101325.099	0.00170794783	0.0200474144	100	8.32108	0	0	3
78	285	0	1.95	101325.096	101325.097	101325.096	101325.099	0.00152876509	0.0200474144	100	8.34289	0	0	3
79	287	0	1.975	101325.096	101325.097	101325.096	101325.099	0.00142614111	0.0200474144	100	8.3252	0	0	3
80	289	0	2	101325.096	101325.097	101325.096	101325.099	0.00134368429	0.0200474144	100	8.35053	0	0	3
81	292	0	2.025	101325.096	101325.097	101325.096	101325.099	0.00121957158	0.0200474144	100	8.32619	0	0	3
82	294	0	2.05	101325.096	101325.097	101325.096	101325.098	0.00106966437	0.0200474144	100	8.35579	0	0	3
83	297	0	2.075	101325.096	101325.097	101325.096	101325.098	0.00107859126	0.0200474144	100	8.34488	0	0	3
84	298	0	2.1	101325.095	101325.097	101325.095	101325.098	0.00122700421	0.0200474144	100	8.37133	0	0	3
85	298	0	2.125	101325.095	101325.097	101325.095	101325.098	0.00136857327	0.0200474144	100	8.3406	0	0	3
86	299	0	2.15	101325.095	101325.096	101325.095	101325.098	0.00151555271	0.0200474144	100	8.36801	0	0	3
87	300	0	2.175	101325.095	101325.096	101325.095	101325.098	0.00165462068	0.0200474144	100	8.3421	0	0	3
88	302	0	2.2	101325.095	101325.096	101325.095	101325.097	0.00179455915	0.0200474144	100	8.36282	0	0	3
