56	234	0	1.4	3.29563226	0.156934869	0	3.29563226	0.156934869	0	0	3.29563	0	0	3
57	237	0	1.425	3.30105509	0.314127969	0	3.30105509	0.314127969	0	0	3.30106	0	0	3
58	240	0	1.45	3.29844566	0.47119681	0	3.30105509	0.47119681	0	0	3.29845	0	0	3
59	243	0	1.475	3.30580389	0.628616042	0	3.30580389	0.628616042	0	0	3.3058	0	0	3
60	245	0	1.5	3.29733817	0.785632146	0	3.30580389	0.785632146	0	0	3.29734	0	0	3
61	246	0	1.525	3.30469818	0.942998725	0	3.30580389	0.942998725	0	0	3.3047	0	0	3
62	247	0	1.55	3.29959498	1.1001223	0	3.30580389	1.1001223	0	0	3.29959	0	0	3
63	249	0	1.575	3.30704119	1.25760045	0	3.30704119	1.25760045	0	0	3.30704	0	0	3
64	250	0	1.6	3.30028138	1.4147567	0	3.30704119	1.4147567	0	0	3.30028	0	0	3
65	253	0	1.625	3.30694961	1.5722305	0	3.30704119	1.5722305	0	0	3.30695	0	0	3
66	255	0	1.65	3.29795178	1.72927582	0	3.30704119	1.72927582	0	0	3.29795	0	0	3
67	257	0	1.675	3.30605892	1.8867072	0	3.30704119	1.8867072	0	0	3.30606	0	0	3
68	260	0	1.7	3.29682233	2.04369873	0	3.30704119	2.04369873	0	0	3.29682	0	0	3
69	264	0	1.725	3.30289812	2.2009796	0	3.30704119	2.2009796	0	0	3.3029	0	0	3
70	265	0	1.75	3.29461764	2.35786615	0	3.30704119	2.35786615	0	0	3.29462	0	0	3
71	267	0	1.775	3.30099242	2.51505627	0	3.30704119	2.51505627	0	0	3.30099	0	0	3
72	268	0	1.8	3.29486574	2.67195464	0	3.30704119	2.67195464	0	0	3.29487	0	0	3
73	270	0	1.825	3.3018765	2.82918685	0	3.30704119	2.82918685	0	0	3.30188	0	0	3
74	274	0	1.85	3.29954285	2.98630794	0	3.30704119	2.98630794	0	0	3.29954	0	0	3
75	277	0	1.875	3.30724268	3.14379568	0	3.30724268	3.14379568	0	0	3.30724	0	0	3
76	280	0	1.9	3.29834233	3.3008596	3.29461764	3.30724268	0.0126250418	0	0	3.29834	0	0	3
77	284	0	1.925	3.30620243	3.30136295	3.29461764	3.30724268	0.0126250418	0	0	3.3062	0	0	3
78	285	0	1.95	3.30083307	3.30135237	3.29461764	3.30724268	0.0126250418	0	0	3.30083	0	0	3
79	287	0	1.975	3.30887366	3.30184895	3.29461764	3.30887366	0.0142560254	0	0	3.30887	0	0	3
80	289	0	2	3.3016377	3.30165056	3.29461764	3.30887366	0.0142560254	0	0	3.30164	0	0	3
81	292	0	2.025	3.30901439	3.30220657	3.29461764	3.30901439	0.0143967493	0	0	3.30901	0	0	3
82	294	0	2.05	3.29885555	3.30192835	3.29461764	3.30901439	0.0143967493	0	0	3.29886	0	0	3
83	297	0	2.075	3.30597467	3.30223214	3.29461764	3.30901439	0.0143967493	0	0	3.30597	0	0	3
84	298	0	2.1	3.29874358	3.30183702	3.29461764	3.30901439	0.0143967493	0	0	3.29874	0	0	3
85	298	0	2.125	3.30518991	3.30207076	3.29461764	3.30901439	0.0143967493	0	0	3.30519	0	0	3
86	299	0	2.15	3.29566069	3.30153319	3.29461764	3.30901439	0.0143967493	0	0	3.29566	0	0	3
87	300	0	2.175	3.304809	3.30185972	3.29461764	3.30901439	0.0143967493	0	0	3.30481	0	0	3
88	302	0	2.2	3.29542826	3.3013535	3.29461764	3.30901439	0.0143967493	0	0	3.29543	0	0	3
89	305	0	2.225	3.3035934	3.30167593	3.29461764	3.30901439	0.0143967493	0	0	3.30359	0	0	3
90	306	0	2.25	3.29859432	3.30147099	3.29461764	3.30901439	0.0143967493	0	0	3.29859	0	0	3
91	308	0	2.275	3.30659947	3.30204155	3.29486574	3.30901439	0.0141486466	0	0	3.3066	0	0	3
92	312	0	2.3	3.29846075	3.301921	3.29486574	3.30901439	0.0141486466	0	0	3.29846	0	0	3
93	314	0	2.325	3.30859706	3.30257487	3.29542826	3.30901439	0.0135861255	0	0	3.3086	0	0	3
94	317	0	2.35	3.30056143	3.30251225	3.29542826	3.30901439	0.0135861255	0	0	3.30056	0	0	3
95	319	0	2.375	3.30867762	3.30294724	3.29542826	3.30901439	0.0135861255	0	0	3.30868	0	0	3
96	322	0	2.4	3.30251551	3.30272213	3.29542826	3.30901439	0.00208763179	0	0	3.30252	0	0	3
97	322	0	2.425	3.31062061	3.30330681	3.29542826	3.31062061	0.00195443923	0	0	3.31062	0	0	3
98	323	0	2.45	3.3032746	3.30316739	3.29542826	3.31062061	0.00195443923	0	0	3.30327	0	0	3
99	326	0	2.475	3.30514498	3.30337272	3.29542826	3.31062061	0.00201922049	0	0	3.30514	0	0	3
100	328	0	2.5	3.30401768	3.30314148	3.29542826	3.31062061	0.00201922049	0	0	3.30402	0	0	3
101	331	0	2.525	3.30421126	3.30326403	3.29542826	3.31062061	0.00201922049	0	0	3.30421	0	0	3
102	333	0	2.55	3.29970443	3.3028207	3.29542826	3.31062061	0.00201922049	0	0	3.2997	0	0	3
103	334	0	2.575	3.3050444	3.30311541	3.29542826	3.31062061	0.00201922049	0	0	3.30504	0	0	3
104	336	0	2.6	3.29588531	3.30263497	3.29542826	3.31062061	0.00201922049	0	0	3.29589	0	0	3
105	339	0	2.625	3.30579498	3.30297075	3.29542826	3.31062061	0.00201922049	0	0	3.30579	0	0	3
106	341	0	2.65	3.29619847	3.30254258	3.29542826	3.31062061	0.00201922049	0	0	3.2962	0	0	3
