Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.200016	293.200016	293.200016	293.200016	0	0	0	0.00771305	0	0	3
2	1	0	0.05	293.200022	293.200019	293.200016	293.200022	3.04129458e-006	0	0	0.00762025	0	0	3
3	2	0	0.075	293.200024	293.200021	293.200016	293.200024	4.73431135e-006	0	0	0.00745134	0	0	3
4	2	0	0.1	293.200026	293.200022	293.200016	293.200026	6.05244611e-006	0	0	0.00867824	0	0	3
5	2	0	0.125	293.200027	293.200023	293.200016	293.200027	7.05069397e-006	0	0	0.00994642	0	0	3
6	3	0	0.15	293.200029	293.200024	293.200016	293.200029	8.04763272e-006	0	0	0.011498	0	0	3
7	3	0	0.175	293.200031	293.200025	293.200016	293.200031	9.01287262e-006	0	0	0.012298	0	0	3
8	4	0	0.2	293.200033	293.200026	293.200016	293.200033	9.95450665e-006	0	0	0.0122246	0	0	3
9	4	0	0.225	293.200034	293.200027	293.200016	293.200034	1.08447269e-005	0	0	0.0117898	0	0	3
10	4	0	0.25	293.200035	293.200028	293.200016	293.200035	1.16754931e-005	0	0	0.0111722	0	0	3
11	5	0	0.275	293.200038	293.200029	293.200016	293.200038	1.26179594e-005	0	0	0.0104632	0	0	3
12	5	0	0.3	293.200041	293.20003	293.200016	293.200041	1.35844764e-005	0	0	0.00997444	0	0	3
13	5	0	0.325	293.200042	293.200031	293.200016	293.200042	1.45038297e-005	0	0	0.00967625	0	0	3
14	6	0	0.35	293.200043	293.200032	293.200016	293.200043	1.53666247e-005	0	0	0.0095131	0	0	3
15	6	0	0.375	293.200043	293.200032	293.200016	293.200043	1.61550309e-005	0	0	0.00944706	0	0	3
16	7	0	0.4	293.200044	293.200033	293.200016	293.200044	1.68886377e-005	0	0	0.00941914	0	0	3
17	7	0	0.425	293.200045	293.200034	293.200016	293.200045	1.75676901e-005	0	0	0.00945829	0	0	3
18	7	0	0.45	293.200046	293.200035	293.200016	293.200046	1.82413606e-005	0	0	0.00950373	0	0	3
