Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0218577417	293.200055	293.200055	293.200055	293.200055	0	0	0	0.0103073	0	0	3
2	15	0	0.0437154833	293.200062	293.200058	293.200055	293.200062	3.457687e-006	0	0	0.00953867	0	0	3
3	21	0	0.065573225	293.200064	293.20006	293.200055	293.200064	5.4546673e-006	0	0	0.00885718	0	0	3
4	27	0	0.0874309667	293.200066	293.200062	293.200055	293.200066	6.90654048e-006	0	0	0.00843677	0	0	3
5	33	0	0.109288708	293.200068	293.200063	293.200055	293.200068	8.12255962e-006	0	0	0.00809179	0	0	3
6	39	0	0.13114645	293.20007	293.200064	293.200055	293.20007	9.38748144e-006	0	0	0.00780521	0	0	3
7	45	0	0.153004192	293.200073	293.200065	293.200055	293.200073	1.0709341e-005	0	0	0.00752646	0	0	3
8	51	0	0.174861933	293.200076	293.200067	293.200055	293.200076	1.20384378e-005	0	0	0.00748626	0	0	3
9	57	0	0.196719675	293.200078	293.200068	293.200055	293.200078	1.32952367e-005	0	0	0.00787834	0	0	3
10	62	0	0.218577417	293.200079	293.200069	293.200055	293.200079	1.44273662e-005	0	0	0.00781809	0	0	3
11	68	0	0.240435158	293.200082	293.20007	293.200055	293.200082	1.55757727e-005	0	0	0.00751736	0	0	3
12	74	0	0.2622929	293.200082	293.200071	293.200055	293.200082	1.65952219e-005	0	0	0.007027	0	0	3
13	80	0	0.284150642	293.200083	293.200072	293.200055	293.200083	1.74756882e-005	0	0	0.00679008	0	0	3
14	86	0	0.306008383	293.200083	293.200073	293.200055	293.200083	1.82611648e-005	0	0	0.00683335	0	0	3
15	92	0	0.327866125	293.200084	293.200074	293.200055	293.200084	1.89762085e-005	0	0	0.00683467	0	0	3
16	97	0	0.349723867	293.200085	293.200074	293.200055	293.200085	1.97059879e-005	0	0	0.00684785	0	0	3
17	103	0	0.371581608	293.200088	293.200075	293.200055	293.200088	2.04964405e-005	0	0	0.00698821	0	0	3
18	109	0	0.39343935	293.200091	293.200076	293.200055	293.200091	2.13531418e-005	0	0	0.00696103	0	0	3
19	115	0	0.415297092	293.200094	293.200077	293.200055	293.200094	2.2290712e-005	0	0	0.00699858	0	0	3
20	121	0	0.437154833	293.200097	293.200078	293.200055	293.200097	2.33109336e-005	0	0	0.00702435	0	0	3
21	127	0	0.459012575	293.200103	293.200079	293.200055	293.200103	2.44836617e-005	0	0	0.00701564	0	0	3
22	133	0	0.480870317	293.200109	293.20008	293.200055	293.200109	2.58413018e-005	0	0	0.00692265	0	0	3
23	139	0	0.502728058	293.200116	293.200082	293.200055	293.200116	2.73943841e-005	0	0	0.00691695	0	0	3
24	145	0	0.5245858	293.200123	293.200085	293.200062	293.200123	2.69221487e-005	0	0	0.00688258	0	0	3
25	151	0	0.546443542	293.200131	293.200088	293.200064	293.200131	2.79300238e-005	0	0	0.00686659	0	0	3
26	157	0	0.568301283	293.200137	293.200091	293.200066	293.200137	2.96503711e-005	0	0	0.00676636	0	0	3
27	162	0	0.590159025	293.200147	293.200095	293.200068	293.200147	3.196941e-005	0	0	0.00675711	0	0	3
28	169	0	0.612016767	293.200156	293.200099	293.20007	293.200156	3.45550479e-005	0	0	0.00673662	0	0	3
29	174	0	0.633874508	293.200164	293.200103	293.200073	293.200164	3.72968961e-005	0	0	0.00671501	0	0	3
30	180	0	0.65573225	293.200169	293.200107	293.200076	293.200169	4.01343714e-005	0	0	0.00670338	0	0	3
31	186	0	0.677589992	293.20017	293.200111	293.200078	293.20017	4.29489596e-005	0	0	0.00668885	0	0	3
32	192	0	0.699447733	293.200175	293.200115	293.200079	293.200175	4.60265599e-005	0	0	0.00667657	0	0	3
33	212	0	0.721305475	293.20018	293.200119	293.200082	293.20018	4.92574885e-005	0	0	0.00666973	0	0	3
34	218	0	0.743163217	293.200189	293.200124	293.200082	293.200189	5.29033161e-005	0	0	0.00664545	0	0	3
35	224	0	0.765020959	293.200201	293.200129	293.200083	293.200201	5.71809231e-005	0	0	0.00662272	0	0	3
36	230	0	0.7868787	293.200218	293.200135	293.200083	293.200218	6.22852521e-005	0	0	0.00659603	0	0	3
37	236	0	0.808736442	293.20022	293.200141	293.200084	293.20022	6.75392882e-005	0	0	0.0066006	0	0	3
38	241	0	0.830594184	293.200215	293.200147	293.200085	293.20022	7.25226516e-005	0	0	0.0065778	0	0	3
